date,unemployment_rate,consumer_spending
2010-01-01,9.8,10056.1
2010-02-01,9.8,10093.4
2010-03-01,9.9,10156.0
2010-04-01,9.9,10182.3
2010-05-01,9.6,10210.8
2010-06-01,9.4,10231.3
2010-07-01,9.4,10268.1
2010-08-01,9.5,10307.1
2010-09-01,9.5,10327.1
2010-10-01,9.4,10386.4
2010-11-01,9.8,10433.6
2010-12-01,9.3,10471.0
2011-01-01,9.1,10514.3
2011-02-01,9.0,10540.6
2011-03-01,9.0,10619.7
2011-04-01,9.1,10652.1
2011-05-01,9.0,10672.2
2011-06-01,9.1,10694.8
2011-07-01,9.0,10731.6
2011-08-01,9.0,10750.3
2011-09-01,9.0,10783.2
2011-10-01,8.8,10802.9
2011-11-01,8.6,10806.8
2011-12-01,8.5,10817.8
2012-01-01,8.3,10896.8
2012-02-01,8.3,10987.2
2012-03-01,8.2,10993.9
2012-04-01,8.2,11018.5
2012-05-01,8.2,11006.8
2012-06-01,8.2,10989.8
2012-07-01,8.2,11016.8
2012-08-01,8.1,11056.0
2012-09-01,7.8,11105.3
2012-10-01,7.8,11137.4
2012-11-01,7.7,11178.4
2012-12-01,7.9,11181.2
2013-01-01,8.0,11252.4
2013-02-01,7.7,11290.5
2013-03-01,7.5,11290.1
2013-04-01,7.6,11281.1
2013-05-01,7.5,11321.6
2013-06-01,7.5,11344.4
2013-07-01,7.3,11372.6
2013-08-01,7.2,11406.6
2013-09-01,7.2,11445.9
2013-10-01,7.2,11498.0
2013-11-01,6.9,11562.5
2013-12-01,6.7,11593.2
2014-01-01,6.6,11578.8
2014-02-01,6.7,11636.9
2014-03-01,6.7,11722.3
2014-04-01,6.2,11762.3
2014-05-01,6.3,11807.3
2014-06-01,6.1,11861.7
2014-07-01,6.2,11904.4
2014-08-01,6.1,11983.7
2014-09-01,5.9,11991.4
2014-10-01,5.7,12064.7
2014-11-01,5.8,12083.9
2014-12-01,5.6,12096.1
2015-01-01,5.7,12066.7
2015-02-01,5.5,12116.6
2015-03-01,5.4,12176.1
2015-04-01,5.4,12209.1
2015-05-01,5.6,12275.4
2015-06-01,5.3,12307.9
2015-07-01,5.2,12364.9
2015-08-01,5.1,12396.2
2015-09-01,5.0,12386.4
2015-10-01,5.0,12394.9
2015-11-01,5.1,12423.2
2015-12-01,5.0,12452.0
2016-01-01,4.8,12478.0
2016-02-01,4.9,12554.5
2016-03-01,5.0,12537.0
2016-04-01,5.1,12611.5
2016-05-01,4.8,12652.7
2016-06-01,4.9,12731.2
2016-07-01,4.8,12756.7
2016-08-01,4.9,12788.1
2016-09-01,5.0,12846.6
2016-10-01,4.9,12867.0
2016-11-01,4.7,12893.0
2016-12-01,4.7,13005.9
2017-01-01,4.7,13063.7
2017-02-01,4.6,13088.4
2017-03-01,4.4,13139.9
2017-04-01,4.4,13169.2
2017-05-01,4.4,13171.9
2017-06-01,4.3,13225.2
2017-07-01,4.3,13263.3
2017-08-01,4.4,13294.6
2017-09-01,4.3,13417.3
2017-10-01,4.2,13447.5
2017-11-01,4.2,13540.6
2017-12-01,4.1,13666.1
2018-01-01,4.0,13703.3
2018-02-01,4.1,13738.7
2018-03-01,4.0,13793.2
2018-04-01,4.0,13838.4
2018-05-01,3.8,13905.0
2018-06-01,4.0,13930.4
2018-07-01,3.8,13974.8
2018-08-01,3.8,14014.0
2018-09-01,3.7,14017.8
2018-10-01,3.8,14083.1
2018-11-01,3.8,14162.9
2018-12-01,3.9,14051.6
2019-01-01,4.0,14084.6
2019-02-01,3.8,14117.4
2019-03-01,3.8,14248.6
2019-04-01,3.7,14290.0
2019-05-01,3.6,14353.3
2019-06-01,3.6,14408.7
2019-07-01,3.7,14496.0
2019-08-01,3.6,14558.2
2019-09-01,3.5,14590.6
2019-10-01,3.6,14617.4
2019-11-01,3.6,14711.0
2019-12-01,3.6,14774.8
2020-01-01,3.6,14868.3
2020-02-01,3.5,14828.1
2020-03-01,4.4,13812.8
2020-04-01,14.8,12249.2
2020-05-01,13.2,13281.5
2020-06-01,11.0,14049.2
2020-07-01,10.2,14307.2
2020-08-01,8.4,14462.2
2020-09-01,7.8,14668.1
2020-10-01,6.9,14725.8
2020-11-01,6.7,14701.6
2020-12-01,6.7,14822.0
2021-01-01,6.4,15073.0
2021-02-01,6.2,14983.5
2021-03-01,6.1,15709.7
2021-04-01,6.1,15917.5
2021-05-01,5.8,15973.5
2021-06-01,5.9,16191.7
2021-07-01,5.4,16239.7
2021-08-01,5.1,16412.9
2021-09-01,4.7,16489.6
2021-10-01,4.5,16704.2
2021-11-01,4.1,16849.8
2021-12-01,3.9,16891.0
2022-01-01,4.0,16993.8
2022-02-01,3.9,17106.0
2022-03-01,3.7,17347.2
2022-04-01,3.7,17490.0
2022-05-01,3.6,17574.5
2022-06-01,3.6,17755.2
2022-07-01,3.5,17770.1
2022-08-01,3.6,17916.5
2022-09-01,3.5,17992.8
2022-10-01,3.6,18109.6
2022-11-01,3.6,18108.0
2022-12-01,3.5,18116.5
